application,window,seed,partition,level,cluster,training_mapped_level,count
SFTP,1,0,train,Medium,0,Low,1342
SFTP,1,0,train,Medium,1,Medium,341
SFTP,1,0,train,Medium,2,High,547
SFTP,1,0,train,High,0,Low,407
SFTP,1,0,train,High,1,Medium,1073
SFTP,1,0,train,High,2,High,1815
SFTP,1,0,validation,Low,0,Low,679
SFTP,1,0,validation,Low,1,Medium,38
SFTP,1,0,validation,Low,2,High,292
SFTP,1,0,validation,Medium,0,Low,572
SFTP,1,0,validation,Medium,1,Medium,109
SFTP,1,0,validation,Medium,2,High,244
SFTP,1,0,validation,High,0,Low,59
SFTP,1,0,validation,High,1,Medium,541
SFTP,1,0,validation,High,2,High,496
SFTP,1,21,train,Low,0,Low,2225
SFTP,1,21,train,Low,1,Medium,41
SFTP,1,21,train,Low,2,High,419
SFTP,1,21,train,Medium,0,Low,1347
SFTP,1,21,train,Medium,1,Medium,339
SFTP,1,21,train,Medium,2,High,544
SFTP,1,21,train,High,0,Low,414
SFTP,1,21,train,High,1,Medium,1060
SFTP,1,21,train,High,2,High,1821
SFTP,1,21,validation,Low,0,Low,687
SFTP,1,21,validation,Low,1,Medium,33
SFTP,1,21,validation,Low,2,High,289
SFTP,1,21,validation,Medium,0,Low,577
SFTP,1,21,validation,Medium,1,Medium,100
SFTP,1,21,validation,Medium,2,High,248
SFTP,1,21,validation,High,0,Low,59
SFTP,1,21,validation,High,1,Medium,520
SFTP,1,21,validation,High,2,High,517
SFTP,1,42,train,Low,0,High,352
SFTP,1,42,train,Low,1,Low,2292
SFTP,1,42,train,Low,2,Medium,41
SFTP,1,42,train,Medium,0,High,439
SFTP,1,42,train,Medium,1,Low,1497
SFTP,1,42,train,Medium,2,Medium,294
SFTP,1,42,train,High,0,High,2189
SFTP,1,42,train,High,1,Low,493
SFTP,1,42,train,High,2,Medium,613
SFTP,1,42,validation,Low,0,High,225
SFTP,1,42,validation,Low,1,Low,771
SFTP,1,42,validation,Low,2,Medium,13
SFTP,1,42,validation,Medium,0,High,214
SFTP,1,42,validation,Medium,1,Low,611
SFTP,1,42,validation,Medium,2,Medium,100
SFTP,1,42,validation,High,0,High,541
SFTP,1,42,validation,High,1,Low,82
SFTP,1,42,validation,High,2,Medium,473
SFTP,1,84,train,Low,0,Low,2231
SFTP,1,84,train,Low,1,Medium,41
SFTP,1,84,train,Low,2,High,413
SFTP,1,84,train,Medium,0,Low,1351
SFTP,1,84,train,Medium,1,Medium,334
SFTP,1,84,train,Medium,2,High,545
SFTP,1,84,train,High,0,Low,425
SFTP,1,84,train,High,1,Medium,1072
SFTP,1,84,train,High,2,High,1798
SFTP,1,84,validation,Low,0,Low,713
SFTP,1,84,validation,Low,1,Medium,38
SFTP,1,84,validation,Low,2,High,258
SFTP,1,84,validation,Medium,0,Low,579
SFTP,1,84,validation,Medium,1,Medium,106
SFTP,1,84,validation,Medium,2,High,240
SFTP,1,84,validation,High,0,Low,63
SFTP,1,84,validation,High,1,Medium,533
SFTP,1,84,validation,High,2,High,500
SFTP,1,123,train,Low,0,Low,2323
SFTP,1,123,train,Low,1,Medium,41
SFTP,1,123,train,Low,2,High,321
SFTP,1,123,train,Medium,0,Low,1526
SFTP,1,123,train,Medium,1,Medium,305
SFTP,1,123,train,Medium,2,High,399
SFTP,1,123,train,High,0,Low,536
SFTP,1,123,train,High,1,Medium,590
SFTP,1,123,train,High,2,High,2169
SFTP,1,123,validation,Low,0,Low,801
SFTP,1,123,validation,Low,1,Medium,13
SFTP,1,123,validation,Low,2,High,195
SFTP,1,123,validation,Medium,0,Low,632
SFTP,1,123,validation,Medium,1,Medium,97
SFTP,1,123,validation,Medium,2,High,196
SFTP,1,123,validation,High,0,Low,100
SFTP,1,123,validation,High,1,Medium,473
SFTP,1,123,validation,High,2,High,523
SFTP,3,0,train,Low,0,Medium,40
SFTP,3,0,train,Low,1,Low,2296
SFTP,3,0,train,Low,2,High,349
SFTP,3,0,train,Medium,0,Medium,328
SFTP,3,0,train,Medium,1,Low,1359
SFTP,3,0,train,Medium,2,High,543
SFTP,3,0,train,High,0,Medium,1013
SFTP,3,0,train,High,1,Low,349
SFTP,3,0,train,High,2,High,1933
SFTP,3,0,validation,Low,0,Medium,35
SFTP,3,0,validation,Low,1,Low,757
SFTP,3,0,validation,Low,2,High,217
SFTP,3,0,validation,Medium,0,Medium,111
SFTP,3,0,validation,Medium,1,Low,577
SFTP,3,0,validation,Medium,2,High,237
SFTP,3,0,validation,High,0,Medium,553
SFTP,3,0,validation,High,1,Low,45
SFTP,3,0,validation,High,2,High,498
SFTP,3,21,train,Low,0,Low,2484
SFTP,3,21,train,Low,1,High,139
SFTP,3,21,train,Low,2,Medium,62
SFTP,3,21,train,Medium,0,Low,1631
SFTP,3,21,train,Medium,1,High,430
SFTP,3,21,train,Medium,2,Medium,169
SFTP,3,21,train,High,0,Low,718
SFTP,3,21,train,High,1,High,2214
SFTP,3,21,train,High,2,Medium,363
SFTP,3,21,validation,Low,0,Low,884
SFTP,3,21,validation,Low,1,High,88
SFTP,3,21,validation,Low,2,Medium,37
SFTP,3,21,validation,Medium,0,Low,703
SFTP,3,21,validation,Medium,1,High,165
SFTP,3,21,validation,Medium,2,Medium,57
SFTP,3,21,validation,High,0,Low,125
SFTP,3,21,validation,High,1,High,800
SFTP,3,21,validation,High,2,Medium,171
SFTP,3,42,train,Low,0,Low,2422
SFTP,3,42,train,Low,1,High,227
SFTP,3,42,train,Low,2,Medium,36
SFTP,3,42,train,Medium,0,Low,1585
SFTP,3,42,train,Medium,1,High,378
SFTP,3,42,train,Medium,2,Medium,267
SFTP,3,42,train,High,0,Low,555
