TcpRtt,SynAck,AckDat,100,010,001,110,101,011,111,label
0.169483,0.001042,0.168441,0,0,0,0,0,0,0,0
0.168993,0.001042,0.167951,0,0,0,0,0,0,0,0
0.169483,0.001042,0.168441,0,0,0,0,0,0,0,0
0.168993,0.001042,0.167951,0,0,0,0,0,0,0,0
0.169483,0.001042,0.168441,0,0,0,0,0,0,0,0
0.169483,0.001042,0.168441,0,0,0,0,0,0,0,0
0.16988,0.001084,0.168796,0,0,0,0,0,0,0,0
0.16988,0.001084,0.168796,0,0,0,0,0,0,0,0
0.16988,0.001084,0.168796,0,0,0,0,0,0,0,0
0.168993,0.001042,0.167951,0,0,0,0,0,0,0,0
0.169483,0.001042,0.168441,0,0,0,0,0,0,0,0
0.168993,0.001042,0.167951,0,0,0,0,0,0,0,0
0.169483,0.001042,0.168441,0,0,0,0,0,0,0,0
0.16988,0.001084,0.168796,0,0,0,0,0,0,0,0
0.000504,0.000504,0.0,0,0,0,0,0,0,0,0
0.061321,0.000504,0.060817,0,0,0,0,0,0,0,0
0.061321,0.000504,0.060817,0,0,0,0,0,0,0,0
0.061321,0.000504,0.060817,0,0,0,0,0,0,0,0
0.061321,0.000504,0.060817,0,0,0,0,0,0,0,0
0.000983,0.000983,0.0,0,0,0,0,0,0,0,0
0.000447,0.000447,0.0,0,0,0,0,0,0,0,0
0.000952,0.000952,0.0,0,0,0,0,0,0,0,0
0.000952,0.000952,0.0,0,0,0,0,0,0,0,0
0.000952,0.000952,0.0,0,0,0,0,0,0,0,0
0.000505,0.000505,0.0,0,0,0,0,0,0,0,0
