application,window,seed,partition,level,cluster,training_mapped_level,count
HTTP,50,42,train,Low,2,High,393
HTTP,50,42,train,Medium,0,Medium,3694
HTTP,50,42,train,Medium,1,Low,2724
HTTP,50,42,train,Medium,2,High,970
HTTP,50,42,train,High,0,Medium,3405
HTTP,50,42,train,High,1,Low,1083
HTTP,50,42,train,High,2,High,1465
HTTP,50,42,validation,Low,0,Medium,93
HTTP,50,42,validation,Low,1,Low,3191
HTTP,50,42,validation,Low,2,High,0
HTTP,50,42,validation,Medium,0,Medium,1825
HTTP,50,42,validation,Medium,1,Low,249
HTTP,50,42,validation,Medium,2,High,323
HTTP,50,42,validation,High,0,Medium,1178
HTTP,50,42,validation,High,1,Low,2
HTTP,50,42,validation,High,2,High,738
HTTP,50,84,train,Low,0,Medium,1879
HTTP,50,84,train,Low,1,Low,7750
HTTP,50,84,train,Low,2,High,420
HTTP,50,84,train,Medium,0,Medium,3620
HTTP,50,84,train,Medium,1,Low,2701
HTTP,50,84,train,Medium,2,High,1067
HTTP,50,84,train,High,0,Medium,3375
HTTP,50,84,train,High,1,Low,1031
HTTP,50,84,train,High,2,High,1547
HTTP,50,84,validation,Low,0,Medium,93
HTTP,50,84,validation,Low,1,Low,3191
HTTP,50,84,validation,Low,2,High,0
HTTP,50,84,validation,Medium,0,Medium,1765
HTTP,50,84,validation,Medium,1,Low,233
HTTP,50,84,validation,Medium,2,High,399
HTTP,50,84,validation,High,0,Medium,1159
HTTP,50,84,validation,High,1,Low,0
HTTP,50,84,validation,High,2,High,759
HTTP,50,123,train,Low,0,Low,7825
HTTP,50,123,train,Low,1,Medium,1947
HTTP,50,123,train,Low,2,High,277
HTTP,50,123,train,Medium,0,Low,2961
HTTP,50,123,train,Medium,1,Medium,3636
HTTP,50,123,train,Medium,2,High,791
HTTP,50,123,train,High,0,Low,1340
HTTP,50,123,train,High,1,Medium,3369
HTTP,50,123,train,High,2,High,1244
HTTP,50,123,validation,Low,0,Low,3199
HTTP,50,123,validation,Low,1,Medium,85
HTTP,50,123,validation,Low,2,High,0
HTTP,50,123,validation,Medium,0,Low,379
HTTP,50,123,validation,Medium,1,Medium,1799
HTTP,50,123,validation,Medium,2,High,219
HTTP,50,123,validation,High,0,Low,3
HTTP,50,123,validation,High,1,Medium,1246
HTTP,50,123,validation,High,2,High,669
HTTP,100,0,train,Low,0,Low,7776
HTTP,100,0,train,Low,1,High,683
HTTP,100,0,train,Low,2,Medium,1590
HTTP,100,0,train,Medium,0,Low,2097
HTTP,100,0,train,Medium,1,High,1560
HTTP,100,0,train,Medium,2,Medium,3731
HTTP,100,0,train,High,0,Low,569
HTTP,100,0,train,High,1,High,2331
HTTP,100,0,train,High,2,Medium,3053
HTTP,100,0,validation,Low,0,Low,3212
HTTP,100,0,validation,Low,1,High,0
HTTP,100,0,validation,Low,2,Medium,72
HTTP,100,0,validation,Medium,0,Low,89
HTTP,100,0,validation,Medium,1,High,608
HTTP,100,0,validation,Medium,2,Medium,1700
HTTP,100,0,validation,High,0,Low,0
HTTP,100,0,validation,High,1,High,1117
HTTP,100,0,validation,High,2,Medium,801
HTTP,100,21,train,Low,0,Low,7805
HTTP,100,21,train,Low,1,Medium,1951
HTTP,100,21,train,Low,2,High,293
HTTP,100,21,train,Medium,0,Low,2475
HTTP,100,21,train,Medium,1,Medium,4000
HTTP,100,21,train,Medium,2,High,913
HTTP,100,21,train,High,0,Low,945
HTTP,100,21,train,High,1,Medium,3303
HTTP,100,21,train,High,2,High,1705
HTTP,100,21,validation,Low,0,Low,3284
HTTP,100,21,validation,Low,1,Medium,0
HTTP,100,21,validation,Low,2,High,0
HTTP,100,21,validation,Medium,0,Low,210
HTTP,100,21,validation,Medium,1,Medium,1886
HTTP,100,21,validation,Medium,2,High,301
HTTP,100,21,validation,High,0,Low,0
HTTP,100,21,validation,High,1,Medium,1079
HTTP,100,21,validation,High,2,High,839
HTTP,100,42,train,Low,0,Medium,1524
HTTP,100,42,train,Low,1,Low,7781
HTTP,100,42,train,Low,2,High,744
HTTP,100,42,train,Medium,0,Medium,3495
HTTP,100,42,train,Medium,1,Low,2097
HTTP,100,42,train,Medium,2,High,1796
HTTP,100,42,train,High,0,Medium,2923
HTTP,100,42,train,High,1,Low,558
HTTP,100,42,train,High,2,High,2472
HTTP,100,42,validation,Low,0,Medium,69
HTTP,100,42,validation,Low,1,Low,3215
HTTP,100,42,validation,Low,2,High,0
HTTP,100,42,validation,Medium,0,Medium,1640
HTTP,100,42,validation,Medium,1,Low,100
HTTP,100,42,validation,Medium,2,High,657
HTTP,100,42,validation,High,0,Medium,774
HTTP,100,42,validation,High,1,Low,0
HTTP,100,42,validation,High,2,High,1144
HTTP,100,84,train,Low,0,Medium,1817
HTTP,100,84,train,Low,1,Low,7794
HTTP,100,84,train,Low,2,High,438
HTTP,100,84,train,Medium,0,Medium,3990
HTTP,100,84,train,Medium,1,Low,2309
HTTP,100,84,train,Medium,2,High,1089
HTTP,100,84,train,High,0,Medium,3180
HTTP,100,84,train,High,1,Low,842
HTTP,100,84,train,High,2,High,1931
HTTP,100,84,validation,Low,0,Medium,0
HTTP,100,84,validation,Low,1,Low,3284
HTTP,100,84,validation,Low,2,High,0
HTTP,100,84,validation,Medium,0,Medium,1853
HTTP,100,84,validation,Medium,1,Low,136
HTTP,100,84,validation,Medium,2,High,408
