TcpRtt,class,label
0.291188,HTTP,7
0.280086,HTTP,7
0.30766,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.293468,HTTP,7
0.293467,HTTP,7
0.293467,HTTP,7
0.291188,HTTP,7
0.293612,HTTP,7
0.291188,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.291188,HTTP,7
0.293612,HTTP,7
0.291188,HTTP,7
0.293612,HTTP,7
0.291188,HTTP,7
0.293468,HTTP,7
0.293468,HTTP,7
0.291188,HTTP,7
0.293468,HTTP,7
0.293468,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293468,HTTP,7
0.293468,HTTP,7
0.293468,HTTP,7
0.293468,HTTP,7
0.001987,HTTP,7
0.001987,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293468,HTTP,7
0.293468,HTTP,7
0.293468,HTTP,7
0.293468,HTTP,7
0.29405,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293468,HTTP,7
0.293468,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293468,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293467,HTTP,7
0.294109,HTTP,7
0.293467,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293467,HTTP,7
0.293468,HTTP,7
0.293612,HTTP,7
0.293468,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.293468,HTTP,7
0.293612,HTTP,7
0.293468,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.293468,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.293468,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.293467,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.280086,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.293467,HTTP,7
0.29405,HTTP,7
0.293467,HTTP,7
0.29405,HTTP,7
0.293467,HTTP,7
0.29405,HTTP,7
0.293467,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.294109,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.280086,HTTP,7
0.294109,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.293612,HTTP,7
0.294109,HTTP,7
0.280086,HTTP,7
0.294109,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.29405,HTTP,7
0.293612,HTTP,7
0.280086,HTTP,7
0.280086,HTTP,7
